url,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Host_Name,Total_Reviews,Host_Info,Amenities
https://www.airbnb.com/rooms/1184974537495697854?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3hocSTSvMYmYjsx&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Elegant &amp; Tranquil (الدخول ذاتي ) F1,,,,[],,,,[],[]
https://www.airbnb.com/rooms/1359611177430917183?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3z_NP2kBdD7X0Zu&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,"A luxurious studio with an upscale building
Smart Screen | Self-Add|Wifi",$231,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1449059184583781249?search_mode=regular_search&adults=1&check_in=2025-08-01&check_out=2025-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3WY0SppjE2MkiiF&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Apartment close to airport,$210,,3 guests,[],,Sayar سيار,,[],[]
https://www.airbnb.com/rooms/1414650609561417551?search_mode=regular_search&adults=1&check_in=2025-07-22&check_out=2025-07-27&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P33_RTy7wwLFQYoB&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Broad Apartment in Narjis,$264,,4 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1426727557158942784?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3jlbZntVFLVYdvp&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Self-entry room and salon 15,$219,,3 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1409522976598940235?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P33lYUsqMOG2ISkf&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Elegant Apartment 101-self check in,$286,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1184971521503321695?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P38xt8ioOlzoFc4Y&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Modern &amp; Spacious (الدخول ذاتي ) G7,$254,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1382807654088493072?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3HwTvWV2W5r8ErV&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,B305 studio close to airport,$233,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1455762255200582969?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P35K-gLH4BF9Rf0v&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Modren 3BR in Al A'arid -stylish,$908,,8 guests,[],,اوڤيرا Overa,,[],[]
https://www.airbnb.com/rooms/1368816722394677852?search_mode=regular_search&adults=1&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3tP8Bg-hwvWUzPI&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Narcissus A- Stylish Hotel Design Studio # N203,$260,,2 guests,[],,Tree &amp; Palm Tree,,[],[]
https://www.airbnb.com/rooms/1244180684196306367?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P394SKOS3n7EsZoS&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,New Apartment in Narcissus,$342,,3 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1403104029923132304?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3n2g9cDO8Vrs0Nc&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Sawa Motel | Details make the difference,$440,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1180484327579329938?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3XyeiExp9d3yY6W&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Self-enterating VIP Studio 10,$212,,2 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1349377761106006963?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3fVAnCQeoq1vpTq&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Super luxury,$830,,6 guests,[],,Ghalib غالب,,[],[]
https://www.airbnb.com/rooms/1400147884995011194?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3vQjbtBgX6-i7A4&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Studio 44 – Al Narjis,$257,,3 guests,[],,,,[],[]
https://www.airbnb.com/rooms/1418424874774370198?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3w3__Ml2Z7-U3ki&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,NG11 Luxury Hotel Apartment Al Nargis,$502,,4 guests,[],5.0,Abdulaziz,5,[],[]
https://www.airbnb.com/rooms/1418781838307837278?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3TdhCnJDqv1rfAs&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,An Narjis Condo Apartment 4,$249,,2 guests,[],,Khalid Yaser,,[],[]
https://www.airbnb.com/rooms/1366049419625474795?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752135821_P3v8j-_sbQH8aswN&previous_page_section_name=1000&federated_search_id=acb9e7db-db9f-4b85-b5f7-5518783bb1c5,Narcissus A- Stylish Luxury Studio # N303,$369,,4 guests,[],,Tree &amp; Palm Tree,,[],[]
